"community_name","community_other_price","community_other_num","community_other_floor","community_other_area","community_average_price","community_average_area","community_average_floor","community_average_AreaPrice","business_district","business_district_sales_num","business_district_other_price","business_district_other_num","business_district_other_floor","business_district_other_area","business_district_average_price","business_district_average_area","business_district_average_floor","business_district_average_AreaPrice"
"金谷园",9139,3,21,51.3,3046.33333333333,17.1,7,178.148148148148,"知春路",88,335555,88,1393,1084.88,3813.125,12.3281818181818,15.8295454545455,309.301489565666
"CBD传奇",15040,4,79,66.58,3760,16.645,19.75,225.893661760288,"平乐园",33,106740,33,520,399.99,3234.54545454545,12.1209090909091,15.7575757575758,266.856671416785
"新龙城",219716,82,1186,1047.41,2679.46341463415,12.7732926829268,14.4634146341463,209.770767894139,"龙泽",485,1237470,485,7736,6414.08,2551.48453608247,13.2249072164948,15.9505154639175,192.930240969866
"交大嘉园",6320,2,38,24,3160,12,19,263.333333333333,"西直门",34,101904,34,433,409.96,2997.17647058824,12.0576470588235,12.7352941176471,248.570592252903
"A派公寓",258,2,18,25.2,129,12.6,9,10.2380952380952,"双井",153,511787,153,3292,2147.5,3345.01307189542,14.0359477124183,21.516339869281,238.317578579744
"太月园",94030,23,561,282.5,4088.26086956522,12.2826086956522,24.3913043478261,332.849557522124,"知春路",88,335555,88,1393,1084.88,3813.125,12.3281818181818,15.8295454545455,309.301489565666
"时代绿荫",15610,5,140,62.9,3122,12.58,28,248.171701112878,"方庄",108,294655,108,2485,1369.89,2728.28703703704,12.6841666666667,23.0092592592593,215.093912649921
"天之骄子",27029,8,132,119.6,3378.625,14.95,16.5,225.994983277592,"双井",153,511787,153,3292,2147.5,3345.01307189542,14.0359477124183,21.516339869281,238.317578579744
"易构空间",28100,9,168,106.34,3122.22222222222,11.8155555555556,18.6666666666667,264.246755689298,"九龙山",35,119160,35,686,471.46,3404.57142857143,13.4702857142857,19.6,252.746786577865
"北影小区",27268,9,117,119.8,3029.77777777778,13.3111111111111,13,227.612687813022,"西土城",65,231994,65,656,805.9,3569.13846153846,12.3984615384615,10.0923076923077,287.869462712495
"金榜园",44396,22,135,311.02,2018,14.1372727272727,6.13636363636364,142.743231946499,"回龙观",161,408149,161,999,2476.25,2535.08695652174,15.3804347826087,6.20496894409938,164.825441696113
"天润福熙大道",83880,24,626,396.63,3495,16.52625,26.0833333333333,211.481733605627,"北苑",130,381463,130,2855,1854.79,2934.33076923077,14.2676153846154,21.9615384615385,205.663713951445
"苹果社区南区",89128,25,650,367.05,3565.12,14.682,26,242.822503746084,"双井",153,511787,153,3292,2147.5,3345.01307189542,14.0359477124183,21.516339869281,238.317578579744
"世捷座",7179,3,72,37.7,2393,12.5666666666667,24,190.424403183024,"芍药居",142,458506,142,2904,1791.28,3228.91549295775,12.6146478873239,20.4507042253521,255.965566522263
"芳群公寓",23580,7,217,113.7,3368.57142857143,16.2428571428571,31,207.387862796834,"刘家窑",49,131227,49,782,597.5,2678.10204081633,12.1938775510204,15.9591836734694,219.626778242678
"清河文苑",14530,4,92,57.22,3632.5,14.305,23,253.932191541419,"永泰庄",208,594690,208,2440,2891.91,2859.08653846154,13.9034134615385,11.7307692307692,205.63917964252
"风景club",6519,4,45,45.9,1629.75,11.475,11.25,142.02614379085,"草桥",100,245576,100,2460,1220.18,2455.76,12.2018,24.6,201.262108869183
"美景东方",30059,11,227,154.55,2732.63636363636,14.05,20.6363636363636,194.493691362019,"潘家园",107,290201,107,1481,1335.2,2712.15887850467,12.4785046728972,13.8411214953271,217.346464949071
"国美第一城3号院",93138,31,842,376.9,3004.45161290323,12.158064516129,27.1612903225806,247.115945874237,"青年路",229,722509,229,4934,3086.1,3155.06113537118,13.4764192139738,21.5458515283843,234.117170538868
"风荷曲苑",30060,9,135,130,3340,14.4444444444444,15,231.230769230769,"六里桥",63,170248,63,1000,785.91,2702.34920634921,12.4747619047619,15.8730158730159,216.625313331043
"博雅德园",45340,15,192,197.78,3022.66666666667,13.1853333333333,12.8,229.244615229042,"西二旗",184,506578,184,2655,2251.76,2753.14130434783,12.2378260869565,14.429347826087,224.969801399794
"芍药居北里",215220,68,1499,778.3,3165,11.4455882352941,22.0441176470588,276.525761274573,"芍药居",142,458506,142,2904,1791.28,3228.91549295775,12.6146478873239,20.4507042253521,255.965566522263
"世华水岸F区",24610,9,107,124.61,2734.44444444444,13.8455555555556,11.8888888888889,197.496188106893,"宋家庄",89,236846,89,1524,1101.75,2661.19101123596,12.3792134831461,17.123595505618,214.972543680508
"月坛北街25号院",10710,3,18,38.2,3570,12.7333333333333,6,280.366492146597,"白堆子",23,73488,23,167,296.92,3195.13043478261,12.9095652173913,7.26086956521739,247.501010373164
"亮马水晶",14880,4,50,48.43,3720,12.1075,12.5,307.247573817881,"东风北桥",168,515525,168,2137,2136.47,3068.60119047619,12.7170833333333,12.7202380952381,241.297560929945
"怡海花园富泽园",47598,19,291,282.4,2505.15789473684,14.8631578947368,15.3157894736842,168.548158640227,"科怡路",134,336009,134,2195,1890.56,2507.52985074627,14.1086567164179,16.3805970149254,177.729878977657
"天通西苑三区",265300,96,2023,1602.92,2763.54166666667,16.6970833333333,21.0729166666667,165.510443440721,"天通苑",412,1051150,412,6195,6739.08,2551.33495145631,16.3569902912621,15.0364077669903,155.978264095396
"天通西苑二区",157510,55,1323,977.1,2863.81818181818,17.7654545454545,24.0545454545455,161.201514686317,"天通苑",412,1051150,412,6195,6739.08,2551.33495145631,16.3569902912621,15.0364077669903,155.978264095396
"天秀花园安和园",16050,5,30,59.72,3210,11.944,6,268.754186202277,"农大南路",100,280956,100,847,1247.96,2809.56,12.4796,8.47,225.132215776147
"北花园小区",38060,14,378,174.47,2718.57142857143,12.4621428571429,27,218.1463861982,"传媒大学",90,226123,90,1725,1195.39,2512.47777777778,13.2821111111111,19.1666666666667,189.162532729904
"中关村东路",15140,3,18,43.96,5046.66666666667,14.6533333333333,6,344.404003639672,"知春里",67,287239,67,586,823.66,4287.14925373134,12.2934328358209,8.74626865671642,348.734914892067
"苏州街77号院",16340,4,24,48.56,4085,12.14,6,336.490939044481,"苏州街",92,367369,92,1102,1162,3993.14130434783,12.6304347826087,11.9782608695652,316.152323580034
"南十里居",92119,31,186,380.14,2971.58064516129,12.2625806451613,6,242.329141895091,"东风北桥",168,515525,168,2137,2136.47,3068.60119047619,12.7170833333333,12.7202380952381,241.297560929945
"酒仙桥十二街坊",38400,12,63,143.76,3200,11.98,5.25,267.111853088481,"东风北桥",168,515525,168,2137,2136.47,3068.60119047619,12.7170833333333,12.7202380952381,241.297560929945
"水碓子东里",23490,7,63,90.7,3355.71428571429,12.9571428571429,9,258.985667034179,"金台路",97,298437,97,1078,1177.8,3076.67010309278,12.1422680412371,11.1134020618557,253.385124808966
"丰管路甲52号院",20950,7,90,117.46,2992.85714285714,16.78,12.8571428571429,178.358590158352,"泥洼",38,102949,38,634,524.18,2709.18421052632,13.7942105263158,16.6842105263158,196.400091571598
"双榆树东里",103690,26,239,312.54,3988.07692307692,12.0207692307692,9.19230769230769,331.765534011646,"人民大学",86,319946,86,737,1003.25,3720.3023255814,11.6656976744186,8.56976744186047,318.909543982058
"泰华滨河苑",36999,11,213,158.79,3363.54545454545,14.4354545454545,19.3636363636364,233.005856791989,"东风北桥",168,515525,168,2137,2136.47,3068.60119047619,12.7170833333333,12.7202380952381,241.297560929945
"安慧里一区",67640,21,305,262.3,3220.95238095238,12.4904761904762,14.5238095238095,257.872664887533,"惠新西街北口",120,399688,120,2158,1582.15,3330.73333333333,13.1845833333333,17.9833333333333,252.623329014316
"高家园五区",6850,2,12,27.4,3425,13.7,6,250,"望京南",109,358908,109,1560,1332.26,3292.73394495413,12.2225688073394,14.3119266055046,269.397865281552
"西木小区",15360,5,33,61.51,3072,12.302,6.6,249.715493415705,"海淀五路居",94,267143,94,850,1226.14,2841.94680851064,13.0440425531915,9.04255319148936,217.873162934086
"惠新里小区",72409,22,200,264.2,3291.31818181818,12.0090909090909,9.09090909090909,274.068887206662,"惠新西街南口",40,127877,40,368,475.9,3196.925,11.8975,9.2,268.705610422358
"工体南路",17570,5,90,61.34,3514,12.268,18,286.436256928595,"东大桥",30,102239,30,409,339.85,3407.96666666667,11.3283333333333,13.6333333333333,300.835662792408
"新风南里",17160,5,30,54,3432,10.8,6,317.777777777778,"积水潭",73,252418,73,713,861.2,3457.78082191781,11.7972602739726,9.76712328767123,293.100325127729
"黄庄小区",28638,9,70,103.11,3182,11.4566666666667,7.77777777777778,277.742217049753,"海淀黄庄",38,147468,38,361,459.21,3880.73684210526,12.0844736842105,9.5,321.134121643692
"王庄路27号院",21170,5,30,66.9,4234,13.38,6,316.44245142003,"五道口",72,284599,72,797,875.72,3952.76388888889,12.1627777777778,11.0694444444444,324.988580824921
"宣武门西大街",20619,7,86,76.2,2945.57142857143,10.8857142857143,12.2857142857143,270.590551181102,"长椿街",16,50769,16,148,183.9,3173.0625,11.49375,9.25,276.068515497553
"天居园",34040,9,288,148.6,3782.22222222222,16.5111111111111,32,229.07133243607,"立水桥南",194,578574,194,4393,2667.21,2982.34020618557,13.7485051546392,22.6443298969072,216.921052335587
"金胜嘉谊家园",17830,6,102,79.6,2971.66666666667,13.2666666666667,17,223.994974874372,"角门东",138,356345,138,1957,1823.08,2582.21014492754,13.2107246376812,14.1811594202899,195.463172214055
"知春里",84970,23,273,273.15,3694.34782608696,11.8760869565217,11.8695652173913,311.074501189822,"海淀黄庄",38,147468,38,361,459.21,3880.73684210526,12.0844736842105,9.5,321.134121643692
"小南庄怡秀园",14828,6,88,58.8,2471.33333333333,9.8,14.6666666666667,252.176870748299,"长春桥",46,131073,46,572,554.9,2849.41304347826,12.0630434782609,12.4347826086957,236.210127950982
"林奥嘉园",97440,27,717,445.46,3608.88888888889,16.4985185185185,26.5555555555556,218.740178691689,"立水桥南",194,578574,194,4393,2667.21,2982.34020618557,13.7485051546392,22.6443298969072,216.921052335587
"八家嘉苑",25270,8,230,86.5,3158.75,10.8125,28.75,292.138728323699,"六道口",80,257916,80,1120,910.75,3223.95,11.384375,14,283.190776832281
"华严北里小区",66739,23,327,223.3,2901.69565217391,9.70869565217391,14.2173913043478,298.875951634572,"健德门",74,236398,74,1045,793.36,3194.56756756757,10.7210810810811,14.1216216216216,297.970656448523
"北京新天地",45180,16,410,216.98,2823.75,13.56125,25.625,208.22195594064,"管庄",134,313385,134,2492,1717.92,2338.69402985075,12.8202985074627,18.5970149253731,182.421183757102
"鲁谷74号院",13620,5,62,60.7,2724,12.14,12.4,224.382207578254,"八宝山",126,322173,126,2014,1664.88,2556.92857142857,13.2133333333333,15.984126984127,193.511244053625
"亮马桥9号院",19120,6,36,76.11,3186.66666666667,12.685,6,251.215346209434,"东风北桥",168,515525,168,2137,2136.47,3068.60119047619,12.7170833333333,12.7202380952381,241.297560929945
"天通西苑一区",209340,71,829,1208.5,2948.45070422535,17.0211267605634,11.6760563380282,173.223003723624,"天通苑南",263,658340,263,2770,4133.5,2503.19391634981,15.7167300380228,10.532319391635,159.26938429902
"东花市北里西区",5920,2,12,20.6,2960,10.3,6,287.378640776699,"北京站",3,8710,3,24,29.6,2903.33333333333,9.86666666666667,8,294.256756756757
"西马金润一区",24488,11,144,176.92,2226.18181818182,16.0836363636364,13.0909090909091,138.412841962469,"角门东",138,356345,138,1957,1823.08,2582.21014492754,13.2107246376812,14.1811594202899,195.463172214055
"车道沟南里",29600,9,170,108.64,3288.88888888889,12.0711111111111,18.8888888888889,272.459499263623,"车道沟",46,142338,46,500,536.48,3094.30434782609,11.6626086956522,10.8695652173913,265.318371607516
"永定路17号院",2890,1,6,14,2890,14,6,206.428571428571,"海淀五路居",94,267143,94,850,1226.14,2841.94680851064,13.0440425531915,9.04255319148936,217.873162934086
"天赐良园二期",38660,15,87,252.55,2577.33333333333,16.8366666666667,5.8,153.078598297367,"物资学院路",182,400796,182,2133,2388.67,2202.17582417582,13.1245604395604,11.7197802197802,167.790444054641
"白云观",12130,4,24,52.5,3032.5,13.125,6,231.047619047619,"南礼士路",29,97560,29,226,347.6,3364.13793103448,11.9862068965517,7.79310344827586,280.667433831991
"尚家楼48号院",12530,4,48,43.9,3132.5,10.975,12,285.421412300683,"三元桥",75,238874,75,1087,877.59,3184.98666666667,11.7012,14.4933333333333,272.193165373352
"开阳里三区",10530,4,60,44.2,2632.5,11.05,15,238.235294117647,"北京南站",80,184603,80,1063,919.46,2307.5375,11.49325,13.2875,200.773279968677
"京棉新城",30160,10,216,130.59,3016,13.059,21.6,230.951833984225,"十里堡",131,362372,131,2523,1632.81,2766.19847328244,12.4641984732824,19.2595419847328,221.931516832944
"北苑家园清友园",132070,45,1055,602.87,2934.88888888889,13.3971111111111,23.4444444444444,219.068787632491,"北苑",130,381463,130,2855,1854.79,2934.33076923077,14.2676153846154,21.9615384615385,205.663713951445
"农业部宿舍",3260,1,6,11.5,3260,11.5,6,283.478260869565,"农业展览馆",11,34579,11,65,129.09,3143.54545454545,11.7354545454545,5.90909090909091,267.867379347742
"北苑家园望春园",99147,35,814,481.5,2832.77142857143,13.7571428571429,23.2571428571429,205.91277258567,"立水桥南",194,578574,194,4393,2667.21,2982.34020618557,13.7485051546392,22.6443298969072,216.921052335587
"万寿路1号院",22960,9,48,85.59,2551.11111111111,9.51,5.33333333333333,268.255637340811,"西钓鱼台",37,97087,37,369,395.84,2623.97297297297,10.6983783783784,9.97297297297297,245.26829021827
"小关东里10号院",7150,2,34,25.8,3575,12.9,17,277.131782945736,"惠新西街南口",40,127877,40,368,475.9,3196.925,11.8975,9.2,268.705610422358
"中昊家园",18640,7,69,93.3,2662.85714285714,13.3285714285714,9.85714285714286,199.78563772776,"海淀五路居",94,267143,94,850,1226.14,2841.94680851064,13.0440425531915,9.04255319148936,217.873162934086
"流星花园三区",83258,35,258,541.6,2378.8,15.4742857142857,7.37142857142857,153.72599704579,"育知路",200,459706,200,1396,2914.66,2298.53,14.5733,6.98,157.721998449219
"圆明园花园别墅",41820,14,84,203.9,2987.14285714286,14.5642857142857,6,205.100539480137,"农大南路",100,280956,100,847,1247.96,2809.56,12.4796,8.47,225.132215776147
"国美第一城2号院",213914,71,1877,908.27,3012.87323943662,12.7925352112676,26.4366197183099,235.518072819756,"青年路",229,722509,229,4934,3086.1,3155.06113537118,13.4764192139738,21.5458515283843,234.117170538868
"周庄嘉园三期",16960,6,146,79.58,2826.66666666667,13.2633333333333,24.3333333333333,213.118874088967,"欢乐谷景区",62,153360,62,1179,790.45,2473.54838709677,12.7491935483871,19.0161290322581,194.016066797394
"青塔秀园",23720,9,114,124.34,2635.55555555556,13.8155555555556,12.6666666666667,190.767251085733,"玉泉路",123,311038,123,2097,1576.72,2528.76422764228,12.8188617886179,17.0487804878049,197.269014155969
"西坝河北里",19908,8,96,91.5,2488.5,11.4375,12,217.573770491803,"光熙门",43,129565,43,701,522.8,3013.13953488372,12.1581395348837,16.3023255813953,247.828997704667
"领秀新硅谷1号院",49749,16,169,270.6,3109.3125,16.9125,10.5625,183.847006651885,"西二旗",184,506578,184,2655,2251.76,2753.14130434783,12.2378260869565,14.429347826087,224.969801399794
"通惠家园",140519,45,582,611.04,3122.64444444444,13.5786666666667,12.9333333333333,229.966941607751,"四惠东",65,207329,65,955,924.5,3189.67692307692,14.2230769230769,14.6923076923077,224.260681449432
"马甸南村",14240,4,64,42.06,3560,10.515,16,338.563956252972,"健德门",74,236398,74,1045,793.36,3194.56756756757,10.7210810810811,14.1216216216216,297.970656448523
"天慧园",11100,4,28,64.33,2775,16.0825,7,172.547800404166,"龙泽",485,1237470,485,7736,6414.08,2551.48453608247,13.2249072164948,15.9505154639175,192.930240969866
"安华里社区",86590,25,248,290.51,3463.6,11.6204,9.92,298.062028845823,"和平西桥",43,142258,43,448,495.21,3308.32558139535,11.516511627907,10.4186046511628,287.268027705418
