"community_name","average_exhibition_period","HuoFang_rate","price_adjustment_num","price_adjustment_average","community_other_price","community_other_num","community_other_floor","community_other_area","community_average_price","community_average_area","community_average_floor","community_average_AreaPrice","business_district","business_district_sales_num","business_district_other_price","business_district_other_num","business_district_other_floor","business_district_other_area","business_district_average_price","business_district_average_area","business_district_average_floor","business_district_average_AreaPrice"
"石榴园",4.99968438286656,"无",1,330,4840,3,16,26.5,1613.33333333333,8.83333333333333,5.33333333333333,182.641509433962,"张府园",21,41400,21,245,247.1,1971.42857142857,11.7666666666667,11.6666666666667,167.543504653986
"后宰门东村",29.9987128209047,"无",1,130,1990,1,6,13.1,1990,13.1,6,151.908396946565,"明故宫",43,NA,43,297,548.38,NA,12.753023255814,6.90697674418605,NA
"剑阁路31号",18.9997597608191,"无",1,130,1760,1,5,10.9,1760,10.9,5,161.467889908257,"云南路站",31,NA,31,198,416,NA,13.4193548387097,6.38709677419355,NA
"宋都美域锦园",4.00012494824275,"无",1,130,1660,1,18,9.5,1660,9.5,18,174.736842105263,"雨润大街",18,32630,18,314,237.59,1812.77777777778,13.1994444444444,17.4444444444444,137.337430026516
"金马郦城西区",14.0016874795255,"无",1,340,3460,2,8,18.2,1730,9.1,4,190.10989010989,"奥体中心",37,117399,37,559,429.3,3172.94594594595,11.6027027027027,15.1081081081081,273.466107617051
"时光澔韵",7.05902289900434,"无",2,120,28100,17,278,217.8,1652.94117647059,12.8117647058824,16.3529411764706,129.017447199265,"安德门",39,63640,39,490,502.5,1631.79487179487,12.8846153846154,12.5641025641026,126.646766169154
"御道街30号",7.66546748018099,"无",1,270,4440,3,18,27,1480,9,6,164.444444444444,"明故宫",43,NA,43,297,548.38,NA,12.753023255814,6.90697674418605,NA
"云燕园小区",2.00007277565422,"无",1,200,5100,4,27,42.1,1275,10.525,6.75,121.140142517815,"五塘广场",44,55190,44,394,484.72,1254.31818181818,11.0163636363636,8.95454545454546,113.859547780162
"石婆婆巷",12.9923092911696,"无",1,260,1790,1,7,8.2,1790,8.2,7,218.292682926829,"鼓楼",14,30820,14,375,182.1,2201.42857142857,13.0071428571429,26.7857142857143,169.247666117518
"太平花苑北区",10.7816648435845,"无",2,150,18480,14,84,159.6,1320,11.4,6,115.789473684211,"胜太西路",61,84630,61,618,763.3,1387.37704918033,12.5131147540984,10.1311475409836,110.873837285471
"文思新村",9.42696375418553,"无",1,170,13420,7,45,90.4,1917.14285714286,12.9142857142857,6.42857142857143,148.451327433628,"夫子庙",36,NA,36,346,475.64,NA,13.2122222222222,9.61111111111111,NA
"双和园",22.9996558052899,"无",1,300,5940,3,40,38.46,1980,12.82,13.3333333333333,154.446177847114,"雨润大街",18,32630,18,314,237.59,1812.77777777778,13.1994444444444,17.4444444444444,137.337430026516
"托乐嘉旺邻居",11.9924220245948,"无",1,170,3550,3,33,31.6,1183.33333333333,10.5333333333333,11,112.341772151899,"",8594,NA,8594,167157,99323.31,NA,11.5572853153363,19.4504305329299,NA
"王府大街",5.99216711281074,"无",1,330,1990,1,7,12.9,1990,12.9,7,154.263565891473,"新街口",46,129479,46,318,522.34,2814.76086956522,11.3552173913043,6.91304347826087,247.882605199678
"保利香槟国际",4.56842434158184,"无",1,100,25030,14,256,189.63,1787.85714285714,13.545,18.2857142857143,131.993882824448,"雨润大街",18,32630,18,314,237.59,1812.77777777778,13.1994444444444,17.4444444444444,137.337430026516
"保利中央公园东苑",13.8009472183718,"无",2,165,7760,5,170,42.27,1552,8.454,34,183.581736456115,"东大九龙湖校区",14,21660,14,309,142.4,1547.14285714286,10.1714285714286,22.0714285714286,152.106741573034
