"community_name","business_district","all_num_business_district","all_num_community","business_district_average_price","community_average_price","community_sales_num","exbination_and_adjustment_ave_exhibition_period","price_adjustment_num","price_adjustment_average"
"水湘人家西苑","新塘",193,107,2192.22797927461,1932.24299065421,23,0.734374509460427,9,203.333333333333
"华元欢乐城","南苑",317,74,1114.41640378549,1105,15,0.785139033327269,4,127.5
"龙湖北城天街","刘行",322,116,1954.25465838509,2513.53448275862,31,1.31837826409409,7,381.428571428571
"保利叶上海(二期)","刘行",322,23,1954.25465838509,1464.78260869565,8,0.91025060876928,1,240
"松泉山庄","",17337,11,2055.19659648111,1820.90909090909,3,1.72214252509704,1,260
"星海名城三期","",17337,5,2055.19659648111,2169.8,3,0.517757476632242,3,2734.33333333333
"望京花园东区","东湖渠",239,73,4037.13389121339,3409.68493150685,17,1.17347859516347,1,2831
"西局欣园南区","七里庄",92,13,3360.61956521739,3041.53846153846,1,0.0710846982817789,1,200
"阳光乐府","黄村西大街",182,9,2267.91208791209,1610.77777777778,3,0.428548281867011,1,100
"前进花园石门苑","石门",456,68,2139.73026315789,1972.35294117647,13,1.51460738619002,4,602.75
"临江花园","中医药大学站",56,18,2307.85714285714,2221.66666666667,5,0.832221187525601,2,165
"三林世博家园(新浦路199弄)","浦三路",152,5,2126.71052631579,1726,1,0.395785663226688,1,240
"中福花苑","南浦大桥",83,22,5088.77108433735,5619.95454545455,7,1.86211305417108,3,1907
"景舒苑一村","联航路",127,6,1778.11023622047,1803.33333333333,3,1.17022705528931,3,223.333333333333
"滨浦新苑二村","沈杜公路",49,2,1401.42857142857,1575,2,2.99386664082883,1,300
"祥祺花园","",17337,23,2055.19659648111,1528.30434782609,10,0.693490568180831,2,25
"万里雅筑","上海西站",200,5,2731.77,2352,2,2.0179486590508,2,170
"角门东里","角门东",384,43,3652.17754569191,3969.53488372093,6,0.465971733983879,2,200
"依翠园","八角游乐园",258,25,2782.28294573643,3198.4,8,1.88062293729109,3,223.333333333333
"保利西山林语","",17337,45,2055.19659648111,3218.84444444444,17,2.38202530077057,2,1035
"天鑫家园","回龙观东大街",466,39,2783.6008583691,2988.17948717949,8,1.82084567018405,1,1791
"交大东路56号院","西直门",135,5,5190.81481481481,5446,4,5.21594749836789,2,865
"碧波园","广阳城",123,15,1728.92682926829,1692.66666666667,7,2.13178945420039,1,200
"公园五号","金台路",271,4,4431.0184501845,4927.5,3,5.75110239738529,2,430
"钱塘玫瑰湾","杨家墩站",63,29,2013.96825396825,1907.24137931034,10,1.0244349671926,2,155
"中远两湾城","中潭路",187,111,4004.4385026738,3712.16216216216,31,2.21559495732501,15,416
"朝霞新苑","祁连山南路",133,2,2525.6992481203,2545,2,1.00302718241458,1,170
"新明星花园","航中路",106,11,2587.44339622642,2299.09090909091,4,1.81559988546427,3,293.333333333333
"绿地蔷薇九里(公寓)","松江大学城",274,34,1972.62773722628,1757.05882352941,3,0.382957963518928,3,430
"保利西子湾","松江大学城",274,67,1972.62773722628,1788.65671641791,18,1.65778806769149,4,225
"航华二村梧柏小区","航中路",106,8,2587.44339622642,2230,2,2.00031876173353,2,235
"宝华海尚郡领","锦绣路",191,2,2542.18848167539,1760,1,1.49178637533,1,230
"浦江世博家园九街坊","联航路",127,10,1778.11023622047,1800,3,1.00341999236108,3,206.666666666667
"青春驿站","九亭",318,10,2051.79245283019,4241,2,0.797011502833554,1,200
"三佳花苑","星中路",69,4,3247.39130434783,5040,1,0.500228074713162,1,350
"曹杨五村(南杨园)","金沙江路",54,4,3839.42592592593,4860,3,1.25237061582161,1,400
"万科早城(二期)","芦恒路",53,3,2661.88679245283,3543.33333333333,3,9.00995158975231,2,535
"祥源福邸","南翔",366,7,2203.10928961749,1548.57142857143,4,3.28302578526633,2,185
"宏立瑞园","南翔",366,34,2203.10928961749,1704.11764705882,9,0.9118242846405,3,156.666666666667
"绿川家园","锦绣路",191,2,2542.18848167539,1310,2,4.50986627968925,2,365
"海尚乐苑","周浦东",97,11,1518.12371134021,1360.72727272727,1,0.27245361646468,1,440
"美安路215弄","罗南新村",214,13,1503.78504672897,1361.53846153846,6,0.461097194276474,2,185
"美罗家园金丰苑","美兰湖",41,11,2445.36585365854,1371.81818181818,4,1.90693274060057,2,285
"日月光伯爵天地","嘉定北",179,12,2070,1223.33333333333,6,1.08344577238608,1,270
"嘉丰佳苑","嘉定西",273,12,1517.43223443223,1300,4,2.27345677838718,3,213.333333333333
"锦绣逸庭(公寓)","徐盈路",31,10,1900.32258064516,1823,2,1.50158364122692,2,220
"滨海之窗","",17337,32,2055.19659648111,2993.71875,3,0.2798420420283,1,400
"留仙苑1期","",17337,5,2055.19659648111,2710,1,0.200169850787079,1,200
"华丽东村","",17337,13,2055.19659648111,1784.61538461538,6,2.84798070710672,3,166.666666666667
"三里河路5号院","白石桥南",41,6,4713.09756097561,4521.66666666667,2,0.988963039299864,1,60
"京泉馨苑","",17337,28,2055.19659648111,2726.75,5,0.251474607036444,2,880
"建材城东一里","霍营",628,24,2927.81687898089,3437.91666666667,8,3.53877202262573,6,290
"华诚花园","物资学院路",448,10,2340.85906040268,2246,4,2.0004743025979,1,200
"新建村","物资学院路",448,109,2340.85906040268,2615.04587155963,33,1.6642116222885,8,330
"和义西里二区","",17337,4,2055.19659648111,2815,2,3.2542106906166,1,230
"东罗园","景泰",110,3,3654.13636363636,2150,1,0.972998699911031,1,100
"义宾南区","石门",456,16,2139.73026315789,2427.5,4,2.24106180144733,2,960.5
"桃花岛","临河里",258,29,2731.20930232558,1939.65517241379,8,2.14184734082313,5,544
"五棵松26号院","海淀五路居",199,6,4063.47236180905,3668.33333333333,2,0.50146866855568,1,330
"和平街十五区1号院","光熙门",153,10,4033.54901960784,4952,1,0.291273340615685,1,500
"大屯里小区","大屯路东",128,31,5110.3046875,3402.22580645161,17,3.54725690881821,10,335
"中湾国际","苏州街",237,17,5442.44303797468,8307.05882352941,4,0.700953691317365,2,335
"清上园","上地",378,30,3807.7671957672,4196.33333333333,9,1.53737261530122,5,344
"万年花城三期","首经贸",445,91,3243.38513513513,3280.41758241758,11,0.66991630134377,1,270
"复地国际公寓","呼家楼",79,4,5487.05063291139,8225,2,1.25548953012391,1,400
"永乐西区","八宝山",344,27,3234.26744186047,3425.18518518519,10,2.04092083369662,4,240
"智学苑","西二旗",314,93,3241.49201277955,3045.41935483871,28,2.62066197591669,5,438
"彩虹城二区","石榴庄",183,17,3302.99453551913,2804.70588235294,7,3.88354102512396,1,2961
"永泰庄6号院","永泰庄",463,3,3299.79049676026,3970,1,0.668424325675508,1,100
"鱼市街小区","珠江路",79,5,2716.32911392405,2346,3,6.60030615056278,1,600
"石榴园","张府园",49,8,2353.0612244898,1813.75,1,0.499915918949991,1,330
"翠屏清华园","",17337,22,2055.19659648111,1541.36363636364,7,2.45271261036747,2,245
"秦湾景园","双龙大道",183,63,1293.06010928962,1199.84126984127,29,1.92027632240103,4,185
"春波西苑","西兴",159,81,2168.93081761006,2215.18518518519,21,1.76688436867398,4,792.5
"宋都美域锦园","雨润大街",29,5,1823.10344827586,1726,1,0.80002498964855,1,130
"中企艮山府","新塘",193,55,2192.22797927461,2530.54545454545,4,0.216850508169193,1,200
"奥克斯钟山府","仙鹤门",190,153,1591.21052631579,1530.06535947712,36,1.78979012275755,2,165
"汉中翠庭","汉中门",66,2,2317.30303030303,1660,1,1.99183122831086,1,200
"东方龙湖湾东湖苑","南京交院",37,2,1160,1260,2,1.97273952255922,1,130
"杭钢尚堂府","",17337,19,2055.19659648111,1403.15789473684,10,1.36451655260797,1,270
"首开武林8栋","",17337,78,2055.19659648111,1694.74358974359,42,3.85362014334164,11,190
"政苑小区","三坝",131,23,1971.29770992366,1963.47826086957,6,1.43396384909137,2,115
"江虹小区","滨和路",319,14,2205.48589341693,2226.42857142857,4,3.20775997018373,4,222.5
"新华坊社区","建国北路",125,16,2653.52,2099.375,5,2.12395751345851,1,140
"欣盛东方郡西区","滨和路",319,23,2205.48589341693,2093.91304347826,6,1.33492594740097,3,306.666666666667
"通和戈雅公寓","浦沿站",44,18,1825.45454545455,1733.33333333333,6,3.00036871413742,3,90
"世茂之西湖","中医药大学站",56,3,2307.85714285714,1790,1,1.30014178542075,1,40
"龙湖旭辉春江悦茗","江陵路",311,92,2137.13826366559,1656.95652173913,51,2.71671378697852,9,383.333333333333
"山水人家美林泉","丰潭路",204,11,2105.63725490196,2424.54545454545,3,0.444824739068697,2,215
"依锦苑","",17337,7,2055.19659648111,1288.57142857143,4,3.42080764969426,1,70
"新城红郡","",17337,56,2055.19659648111,997.678571428571,3,0.213880392161725,2,70
"红联九漾华庭▪东区","南苑",317,106,1114.41640378549,1103.67924528302,8,0.735945028607102,4,300
"滨江德信东方星城","火车东站",175,162,1773.94285714286,1738.08641975309,32,1.22699089330214,4,182.5
"瑞嘉苑","海伦路",37,2,3472.67567567568,5725,1,1.48300175665429,1,170
"文化佳园","延吉中路",56,4,3500.17857142857,2667.5,1,0.982949346218396,1,1200
"东珂花苑","民生路",119,11,3088.96638655462,2589.09090909091,3,1.54343218496954,2,100
"印象春城","周浦东",97,10,1518.12371134021,3038,5,2.59681944600603,3,310
"滨浦新苑三村","联航路",127,7,1778.11023622047,1627.14285714286,3,1.85550059500155,2,150
"金枫里","殷高西路",153,16,2390.19607843137,1936.25,7,2.43834715128117,2,170
